year,division,revenue,operating_profit,weight,operating_margin
2015,H&A (Home Appliance & Air Solution),25429053600000.0,536530950000.0,0.45,2.109913166410566
2015,BS (Business Solutions),14127252000000.0,298072750000.0,0.25,2.109913166410566
2015,VS (Vehicle component Solutions),16952702400000.0,357687300000.0,0.3,2.109913166410566
2016,H&A (Home Appliance & Air Solution),24440590281428.574,590526810000.0,0.44142857142857145,2.416172454102787
2016,BS (Business Solutions),13841758250000.0,334440750000.0,0.25,2.416172454102787
2016,VS (Vehicle component Solutions),17084684468571.428,412795440000.0,0.30857142857142855,2.416172454102787
2017,H&A (Home Appliance & Air Solution),26574997019828.64,1068495974745.0021,0.432843737250102,4.02068144710517
2017,BS (Business Solutions),15342808629130.969,616885460016.32,0.2498980008159935,4.0206814471051695
2017,VS (Vehicle component Solutions),19478478351040.395,783167565238.6781,0.31725826193390455,4.0206814471051695
2018,H&A (Home Appliance & Air Solution),26024278234599.28,1146874612548.6282,0.4242512598712562,4.406941096348479
2018,BS (Business Solutions),15316601438078.006,674993603338.5618,0.2496932824984664,4.406941096348479
2018,VS (Vehicle component Solutions),20000784327322.703,881422784112.8098,0.32605545763027727,4.406941096348479
2019,H&A (Home Appliance & Air Solution),25897997235857.125,1012598206970.0754,0.41565699123493177,3.9099479305221356
2019,BS (Business Solutions),15538245272310.348,607537299464.152,0.24938531810547426,3.9099479305221356
2019,VS (Vehicle component Solutions),20869932491832.523,816003493565.7725,0.3349576906595939,3.9099479305221356
2020,H&A (Home Appliance & Air Solution),25751882208024.73,1300573315004.2336,0.40706685661138325,5.050400993986189
2020,BS (Business Solutions),15750590626015.254,795467985534.9698,0.2489737784645039,5.050400993986188
2020,VS (Vehicle component Solutions),21759573165960.02,1098945699460.7969,0.34395936492411294,5.050400993986189
2021,H&A (Home Appliance & Air Solution),29775585649736.72,1539663082937.1484,0.39848683772320753,5.170891014702049
2021,BS (Business Solutions),18565226554919.242,959987631787.3977,0.2484585360808882,5.170891014702049
2021,VS (Vehicle component Solutions),26380816795344.035,1364123285275.4536,0.3530546261959042,5.170891014702049
2022,H&A (Home Appliance & Air Solution),32545823305628.61,1384605496431.9644,0.3899229553012427,4.254326226224257
2022,BS (Business Solutions),20686512394335.53,880071722083.348,0.2478396681481431,4.254326226224257
2022,VS (Vehicle component Solutions),30234982300035.855,1286294781484.6875,0.36223737655061417,4.254326226224257
2023,H&A (Home Appliance & Air Solution),32122890399444.75,1353550282635.6484,0.3813812511758415,4.213662798722013
2023,BS (Business Solutions),20814151232256.316,877038147343.3237,0.24711745862253753,4.213662798722012
2023,VS (Vehicle component Solutions),31290723368298.93,1318485570021.0276,0.3715012902016209,4.213662798722013
